order_id,date
13,2016-01-01
5,2016-01-01
47,2016-01-01
62,2016-01-01
67,2016-01-01
66,2016-01-01
58,2016-01-01
7,2016-01-01
6,2016-01-01
28,2016-01-01
53,2016-01-01
37,2016-01-01
29,2016-01-01
63,2016-01-01
22,2016-01-01
20,2016-01-01
4,2016-01-01
30,2016-01-01
32,2016-01-01
39,2016-01-01
15,2016-01-01
21,2016-01-01
54,2016-01-01
46,2016-01-01
45,2016-01-01
25,2016-01-01
61,2016-01-01
55,2016-01-01
60,2016-01-01
40,2016-01-01
68,2016-01-01
43,2016-01-01
1,2016-01-01
18,2016-01-01
69,2016-01-01
2,2016-01-01
56,2016-01-01
24,2016-01-01
38,2016-01-01
26,2016-01-01
8,2016-01-01
23,2016-01-01
17,2016-01-01
16,2016-01-01
49,2016-01-01
57,2016-01-01
9,2016-01-01
31,2016-01-01
50,2016-01-01
36,2016-01-01
42,2016-01-01
51,2016-01-01
59,2016-01-01
27,2016-01-01
52,2016-01-01
41,2016-01-01
35,2016-01-01
34,2016-01-01
19,2016-01-01
64,2016-01-01
14,2016-01-01
65,2016-01-01
1852,2016-01-02
1871,2016-01-02
101,2016-01-02
128,2016-01-02
1909,2016-01-02
1856,2016-01-02
134,2016-01-02
125,2016-01-02
88,2016-01-02
126,2016-01-02
111,2016-01-02
1870,2016-01-02
115,2016-01-02
1924,2016-01-02
94,2016-01-02
96,2016-01-02
78,2016-01-02
91,2016-01-02
120,2016-01-02
129,2016-01-02
110,2016-01-02
83,2016-01-02
77,2016-01-02
72,2016-01-02
122,2016-01-02
109,2016-01-02
1864,2016-01-02
84,2016-01-02
136,2016-01-02
104,2016-01-02
93,2016-01-02
105,2016-01-02
75,2016-01-02
130,2016-01-02
71,2016-01-02
1846,2016-01-02
132,2016-01-02
1868,2016-01-02
89,2016-01-02
90,2016-01-02
1916,2016-01-02
86,2016-01-02
76,2016-01-02
1889,2016-01-02
107,2016-01-02
81,2016-01-02
106,2016-01-02
133,2016-01-02
116,2016-01-02
73,2016-01-02
1851,2016-01-02
124,2016-01-02
1923,2016-01-02
117,2016-01-02
121,2016-01-02
123,2016-01-02
113,2016-01-02
118,2016-01-02
80,2016-01-02
119,2016-01-02
85,2016-01-02
97,2016-01-02
82,2016-01-02
95,2016-01-02
70,2016-01-02
156,2016-01-03
172,2016-01-03
187,2016-01-03
3560,2016-01-03
154,2016-01-03
161,2016-01-03
168,2016-01-03
198,2016-01-03
159,2016-01-03
3534,2016-01-03
170,2016-01-03
178,2016-01-03
144,2016-01-03
3575,2016-01-03
3533,2016-01-03
166,2016-01-03
137,2016-01-03
3544,2016-01-03
138,2016-01-03
184,2016-01-03
141,2016-01-03
142,2016-01-03
3565,2016-01-03
180,2016-01-03
200,2016-01-03
174,2016-01-03
3556,2016-01-03
146,2016-01-03
3579,2016-01-03
179,2016-01-03
147,2016-01-03
3542,2016-01-03
3576,2016-01-03
148,2016-01-03
186,2016-01-03
151,2016-01-03
155,2016-01-03
201,2016-01-03
165,2016-01-03
202,2016-01-03
140,2016-01-03
153,2016-01-03
188,2016-01-03
197,2016-01-03
3564,2016-01-03
189,2016-01-03
173,2016-01-03
157,2016-01-03
182,2016-01-03
194,2016-01-03
158,2016-01-03
164,2016-01-03
196,2016-01-03
192,2016-01-03
149,2016-01-03
190,2016-01-03
5428,2016-01-04
242,2016-01-04
246,2016-01-04
224,2016-01-04
227,2016-01-04
5388,2016-01-04
241,2016-01-04
5393,2016-01-04
5410,2016-01-04
5419,2016-01-04
208,2016-01-04
214,2016-01-04
233,2016-01-04
203,2016-01-04
251,2016-01-04
213,2016-01-04
226,2016-01-04
230,2016-01-04
5399,2016-01-04
218,2016-01-04
215,2016-01-04
228,2016-01-04
239,2016-01-04
209,2016-01-04
5391,2016-01-04
231,2016-01-04
249,2016-01-04
5374,2016-01-04
5413,2016-01-04
205,2016-01-04
220,2016-01-04
204,2016-01-04
247,2016-01-04
217,2016-01-04
210,2016-01-04
5378,2016-01-04
223,2016-01-04
5415,2016-01-04
212,2016-01-04
250,2016-01-04
211,2016-01-04
252,2016-01-04
234,2016-01-04
229,2016-01-04
257,2016-01-05
262,2016-01-05
291,2016-01-05
259,2016-01-05
283,2016-01-05
258,2016-01-05
292,2016-01-05
265,2016-01-05
290,2016-01-05
7218,2016-01-05
282,2016-01-05
278,2016-01-05
279,2016-01-05
7215,2016-01-05
297,2016-01-05
277,2016-01-05
303,2016-01-05
7203,2016-01-05
7229,2016-01-05
7187,2016-01-05
273,2016-01-05
293,2016-01-05
305,2016-01-05
296,2016-01-05
7242,2016-01-05
294,2016-01-05
295,2016-01-05
287,2016-01-05
275,2016-01-05
274,2016-01-05
7227,2016-01-05
308,2016-01-05
7179,2016-01-05
269,2016-01-05
263,2016-01-05
304,2016-01-05
299,2016-01-05
280,2016-01-05
302,2016-01-05
7204,2016-01-05
7199,2016-01-05
7234,2016-01-05
260,2016-01-05
289,2016-01-05
256,2016-01-05
286,2016-01-05
266,2016-01-05
264,2016-01-05
271,2016-01-05
261,2016-01-05
301,2016-01-05
284,2016-01-05
281,2016-01-05
7183,2016-01-05
298,2016-01-05
255,2016-01-05
268,2016-01-05
333,2016-01-06
311,2016-01-06
338,2016-01-06
323,2016-01-06
351,2016-01-06
9040,2016-01-06
329,2016-01-06
357,2016-01-06
350,2016-01-06
344,2016-01-06
312,2016-01-06
364,2016-01-06
334,2016-01-06
332,2016-01-06
335,2016-01-06
9090,2016-01-06
356,2016-01-06
354,2016-01-06
322,2016-01-06
358,2016-01-06
359,2016-01-06
9055,2016-01-06
316,2016-01-06
9049,2016-01-06
9089,2016-01-06
314,2016-01-06
363,2016-01-06
337,2016-01-06
339,2016-01-06
342,2016-01-06
330,2016-01-06
341,2016-01-06
353,2016-01-06
9082,2016-01-06
9083,2016-01-06
365,2016-01-06
372,2016-01-06
371,2016-01-06
9035,2016-01-06
345,2016-01-06
313,2016-01-06
336,2016-01-06
347,2016-01-06
9085,2016-01-06
309,2016-01-06
320,2016-01-06
366,2016-01-06
348,2016-01-06
328,2016-01-06
327,2016-01-06
317,2016-01-06
310,2016-01-06
370,2016-01-06
9047,2016-01-06
369,2016-01-06
360,2016-01-06
326,2016-01-06
362,2016-01-06
343,2016-01-06
319,2016-01-06
9046,2016-01-06
315,2016-01-06
10817,2016-01-07
375,2016-01-07
421,2016-01-07
418,2016-01-07
424,2016-01-07
426,2016-01-07
390,2016-01-07
419,2016-01-07
415,2016-01-07
407,2016-01-07
10849,2016-01-07
381,2016-01-07
411,2016-01-07
396,2016-01-07
408,2016-01-07
10819,2016-01-07
374,2016-01-07
10831,2016-01-07
430,2016-01-07
409,2016-01-07
405,2016-01-07
395,2016-01-07
386,2016-01-07
402,2016-01-07
417,2016-01-07
385,2016-01-07
397,2016-01-07
10820,2016-01-07
10836,2016-01-07
10837,2016-01-07
382,2016-01-07
10796,2016-01-07
406,2016-01-07
394,2016-01-07
387,2016-01-07
401,2016-01-07
10804,2016-01-07
10832,2016-01-07
10853,2016-01-07
404,2016-01-07
414,2016-01-07
420,2016-01-07
376,2016-01-07
427,2016-01-07
400,2016-01-07
377,2016-01-07
392,2016-01-07
10860,2016-01-07
428,2016-01-07
412,2016-01-07
10818,2016-01-07
413,2016-01-07
388,2016-01-07
393,2016-01-07
470,2016-01-08
488,2016-01-08
495,2016-01-08
492,2016-01-08
456,2016-01-08
12785,2016-01-08
437,2016-01-08
501,2016-01-08
481,2016-01-08
436,2016-01-08
12755,2016-01-08
468,2016-01-08
465,2016-01-08
12761,2016-01-08
450,2016-01-08
432,2016-01-08
451,2016-01-08
12781,2016-01-08
473,2016-01-08
449,2016-01-08
441,2016-01-08
494,2016-01-08
12759,2016-01-08
483,2016-01-08
460,2016-01-08
433,2016-01-08
12764,2016-01-08
502,2016-01-08
457,2016-01-08
12780,2016-01-08
461,2016-01-08
448,2016-01-08
455,2016-01-08
464,2016-01-08
443,2016-01-08
459,2016-01-08
434,2016-01-08
493,2016-01-08
446,2016-01-08
438,2016-01-08
489,2016-01-08
482,2016-01-08
453,2016-01-08
499,2016-01-08
452,2016-01-08
12775,2016-01-08
477,2016-01-08
476,2016-01-08
491,2016-01-08
486,2016-01-08
466,2016-01-08
